task,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,auroc,auprc,sensitivity,specificity,precision,f1,brier,mae,rmse,median_ae,r2
primary_disease_class,dummy,0.22666666666666666,0.09090909090909091,0.03359683794466403,0.08376811594202899,,,,,,,,,,,
primary_disease_class,logistic_regression,0.26666666666666666,0.2225647303046684,0.2274894026298229,0.3043901321155326,,,,,,,,,,,
primary_disease_class,random_forest,0.47333333333333333,0.35490300320021684,0.3378826246444444,0.4443464157769243,,,,,,,,,,,
primary_disease_class,gradient_boosting,0.46,0.3193170091002908,0.3091002024813999,0.41535472487741926,,,,,,,,,,,
in_hospital_mortality,dummy,0.98,0.5,0.494949494949495,0.9701010101010102,0.5,0.02,0.0,1.0,0.0,0.0,0.02,,,,
in_hospital_mortality,logistic_regression,0.9733333333333334,0.8231292517006803,0.7431506849315068,0.9765753424657534,0.7120181405895691,0.6743589743589743,0.6666666666666666,0.9795918367346939,0.4,0.5,0.023161635113998144,,,,
in_hospital_mortality,random_forest,0.9866666666666667,0.6666666666666666,0.7466216216216216,0.9833783783783783,0.8480725623582765,0.38363636363636366,0.3333333333333333,1.0,1.0,0.5,0.018158637547501872,,,,
in_hospital_mortality,gradient_boosting,0.98,0.5,0.494949494949495,0.9701010101010102,0.7165532879818595,0.3864734299516908,0.0,1.0,0.0,0.0,0.016351580226250557,,,,
length_of_stay_days,mean,,,,,,,,,,,,3.821769434020304,6.527201357988205,2.7243860843119307,-0.008373673583332852
length_of_stay_days,ridge,,,,,,,,,,,,3.3884812802713955,5.914651908229102,2.0120870739284857,0.17200853785836245
length_of_stay_days,random_forest,,,,,,,,,,,,3.2158853108880368,6.047795606438275,1.711030779725733,0.134311420743788
length_of_stay_days,gradient_boosting,,,,,,,,,,,,3.504221872021779,6.259776248424994,2.1388796771497987,0.07256154887174293
